OBJECTID,FacilityID,Name,GEOID10,MSA,ARC,FeatureID,TurnOut,ShapeSTArea,ShapeSTLength
105,,Butts,13035,Yes,No,,,5241415531.50708,399989.357250423
106,,Jackson,13157,No,No,,,9563846094.71826,486784.35163764
107,,Newton,13217,Yes,No,,,7779512617.21289,484576.757116939
108,,Houston,13153,No,No,,,10589995522.5521,630114.040530604
109,,Worth,13321,No,No,,,16020372359.8845,674299.963068629
110,,Sumter,13261,No,No,,,13731645674.3207,599423.584733344
111,,Lowndes,13185,No,No,,,14231394628.9722,727603.434802976
112,,Cook,13075,No,No,,,6500774300.42981,459931.074317829
113,,Pike,13231,Yes,No,,,6115753467.59082,375984.580909462
114,,Macon,13193,No,No,,,11316584723.1445,571626.032677655
115,,Brooks,13027,No,No,,,13876213060.0745,720743.853439861
116,,Crisp,13081,No,No,,,7831121553.95703,394763.396785547
117,,Terrell,13273,No,No,,,9412640589.11401,512660.913212461
118,,Dougherty,13095,No,No,,,9326580625.47156,472138.492211567
119,,Peach,13225,No,No,,,4216812012.81018,389720.850715442
120,,Monroe,13207,No,No,,,11088225118.5479,483540.147168503
121,,Schley,13249,No,No,,,4677715497.31519,382365.708576843
122,,Dooly,13093,No,No,,,11073828884.4972,468707.782718967
123,,Lee,13177,No,No,,,10083218652.2479,531955.405303522
124,,Colquitt,13071,No,No,,,15515726279.0208,572750.210410751
125,,Marion,13197,No,No,,,10242970487.6569,511089.087582866
126,,Lamar,13171,Yes,No,,,5179470772.61768,342385.906892064
127,,Taylor,13269,No,No,,,10583332875.9323,648212.350911167
128,,Thomas,13275,No,No,,,15392021828.5751,548854.763920571
129,,Pickens,13227,Yes,No,,,6487661261.50635,410774.877244778
130,,Dawson,13085,Yes,No,,,5976994793.06055,428702.622184227
131,,Hall,13139,No,No,,,11965892191.0574,562408.894860884
132,,Barrow,13013,Yes,No,,,4541805335.03613,360770.830383405
133,,Walton,13297,Yes,No,,,9198110570.80591,443793.216157724
134,,Upson,13293,No,No,,,9130051058.98364,485738.765018584
135,,Talbot,13263,No,No,,,11003288430.4585,554396.792833198
136,,Crawford,13079,No,No,,,9097095230.43066,556657.378166682
137,,Haralson,13143,Yes,No,,,7894708228.71558,370144.660345232
138,,Gordon,13129,No,No,,,9977791583.45117,517957.86801428
139,,Polk,13233,No,No,,,8702298117.04395,438606.763311062
140,,Floyd,13115,No,No,,,14457265640.2251,652904.596139832
141,,Spalding,13255,Yes,No,,,5563017400.64185,421707.23922255
142,,Meriwether,13199,Yes,No,,,14087893712.7596,540168.52504066
143,,Heard,13149,Yes,No,,,8393811768.62524,398877.646384379
144,,Troup,13285,No,No,,,12432421079.7616,477186.18886626
145,,Cherokee,13057,Yes,Yes,,,12108266380.0674,505700.998216552
146,,Bartow,13015,Yes,No,,,13104464875.7969,515181.190002388
147,,Rockdale,13247,Yes,Yes,,,3681717743.33447,332360.092814174
148,,Coweta,13077,Yes,No,,,12425422618.1384,574614.691477125
150,,DeKalb,13089,Yes,Yes,,,7558870022.41211,417202.818491503
152,,Henry,13151,Yes,Yes,,,9101985761.85742,592261.721407927
153,,Paulding,13223,Yes,No,,,8762480009.40967,400784.319680969
154,,Fayette,13113,Yes,Yes,,,5559289793.56006,379969.821390459
155,,Douglas,13097,Yes,Yes,,,5600543458.05493,344262.902841443
156,,Cobb,13067,Yes,Yes,,,9599887576.92383,435804.901234095
157,,Forsyth,13117,Yes,No,,,6890044563.28564,403630.928394795
158,,Gwinnett,13135,Yes,Yes,,,12171602615.1907,522239.34843228
159,,Clayton,13063,Yes,Yes,,,4020807561.552,381991.18980506
160,,Fulton,13121,Yes,Yes,1,73.538781,14902421661.395,929111.958049315
161,,Carroll,13045,Yes,No,,,14043686495.4263,575277.371711552
